Function	File	Description	Link	
predht.asym	biomass/biomass.CTFSdb.r	An allometric model predicting an a...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/biomass~slash~biomass.CTFSdb.r/predht.asym'>Help</a>	
prob.N1	demogchange/abund.fit.CTFS.r	Calculates the probability of obser...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~abund.fit.CTFS.r/prob.N1'>Help</a>	
pst	utilities/utilities.r	A version of paste with sep=''....	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/pst'>Help</a>	
psymexp	utilities/distributions.r	The CDF for the symmetric exponenti...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/psymexp'>Help</a>	
pts.to.interceptslope	utilities/geometry.r	Returns intercept and slope of a li...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/pts.to.interceptslope'>Help</a>	
pweibull.3param	utilities/distributions.r	CDF of three-parameter Weibull (htt...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/pweibull.3param'>Help</a>	
qasymexp	utilities/distributions.r	Quantiles of dasymexp...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/qasymexp'>Help</a>	
qasympower	utilities/distributions.r	Quantiles from the bilateral power ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/qasympower'>Help</a>	
quad.to.gxgy	spatial/quadfunc.r	Convert quadrat names into x-y coor...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/quad.to.gxgy'>Help</a>	
quadslope	topography/slope.r	Given the elevation at four corners...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/topography~slash~slope.r/quadslope'>Help</a>	
randomRow	utilities/utilities.r	Return a random row from a datafram...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/randomRow'>Help</a>	
randomRow	utilities/utilities.r	Return a random element from a vect...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/randomRow'>Help</a>	
rarefy.diversity	utilities/calcalpha.r	takes a full plot dataframe and cal...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~calcalpha.r/rarefy.diversity'>Help</a>	
rasterize	spatial/block.analysis.r	Function to calculate the count (ty...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~block.analysis.r/rasterize'>Help</a>	
rasympower	utilities/distributions.r	Random draws from the bilateral pow...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/rasympower'>Help</a>	
readelevdata	topography/slope.r	A function to read a table of eleva...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/topography~slash~slope.r/readelevdata'>Help</a>	
rearrangeSurveyData	topography/solvetopo.r	Takes a table of survey sightings w...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/topography~slash~solvetopo.r/rearrangeSurveyData'>Help</a>	
recalculate.lmerBayesllike	utilities/lmerBayes.r	Walk through entire chain of parame...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~lmerBayes.r/recalculate.lmerBayesllike'>Help</a>	
recruitment	recruitment/recruitment.r	Functions for calculating recruitme...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/recruitment~slash~recruitment.r/recruitment'>Help</a>	
recruitment.eachspp	recruitment/recruitment.r	A wrapper to calculate recruitment ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/recruitment~slash~recruitment.r/recruitment.eachspp'>Help</a>	
regress.loglog	utilities/statistics.r	Performs regression and graphs in a...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/regress.loglog'>Help</a>	
regress.plot	utilities/statistics.r	Performs regression in convenient w...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/regress.plot'>Help</a>	
regression.Bayes	utilities/statistics.r	Regression using the Gibbs sampler,...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/regression.Bayes'>Help</a>	
regslope	utilities/statistics.r	Returns slope of regression as sing...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/regslope'>Help</a>	
regslope.noint	utilities/statistics.r	Returns slope of regression with no...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/regslope.noint'>Help</a>	
regsum	utilities/statistics.r	This carries out either first or se...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/regsum'>Help</a>	
resetParam	utilities/lmerBayes.r	This starts a new 3D parameter arra...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~lmerBayes.r/resetParam'>Help</a>	
residual.llike.lmerBayes	utilities/lmerBayes.r	Calculate likelihood of residual st...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~lmerBayes.r/residual.llike.lmerBayes'>Help</a>	
residual.llike.modelBayes	utilities/modelBayes.r	Calculate likelihood of residual st...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~modelBayes.r/residual.llike.modelBayes'>Help</a>	
restoreParamFile	utilities/lmerBayes.r	Reverses the steps of saveParamFile...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~lmerBayes.r/restoreParamFile'>Help</a>	
rgamma.meansd	utilities/distributions.r	Random draws of gamma, parameterize...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/rgamma.meansd'>Help</a>	
right	utilities/utilities.r	Returns the rightmost n characters ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/right'>Help</a>	
rightbut	utilities/utilities.r	Returns the rightmost characters of...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/rightbut'>Help</a>	
RipUvK	spatial/RipUvK.r	Ripley's K using splancs. Computes ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~RipUvK.r/RipUvK'>Help</a>	
rmixnorm	utilities/distributions.r	Random draw on the mixed normal dis...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/rmixnorm'>Help</a>	
rndown5	utilities/utilitiesCTFS.r	Rounds a numeric value to the next ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilitiesCTFS.r/rndown5'>Help</a>	
rowcol.to.index	spatial/quadfunc.r	None given....	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/rowcol.to.index'>Help</a>	
rpois.max	utilities/distributions.r	Random draws on dpois.max...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/rpois.max'>Help</a>	
rpois.trunc	utilities/distributions.r	Random draws on dpois.trunc. This i...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/rpois.trunc'>Help</a>	
rpower	utilities/distributions.r	Random draws based on the integral....	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/rpower'>Help</a>	
rsymexp	utilities/distributions.r	Drawing a random variate on the sym...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/rsymexp'>Help</a>	
run.growthbin.manyspp	growth/growthfit.bin.r	Run the model to fit growth rate in...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.bin.r/run.growthbin.manyspp'>Help</a>	
run.growthfit.bin	growth/growthfit.bin.r	Find best fits for linearmodel.bin,...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.bin.r/run.growthfit.bin'>Help</a>	
save.searchpath	utilities/utilities.r	Saves all functions in position n t...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/save.searchpath'>Help</a>	
saveParamFile	utilities/lmerBayes.r	This saves a run of the full parame...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~lmerBayes.r/saveParamFile'>Help</a>	
SectionCorrection	topography/imageJ.r	This function is called by fullplot...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/topography~slash~imageJ.r/SectionCorrection'>Help</a>	
segmentPt	utilities/geometry.r	Draw a line segment between two poi...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/segmentPt'>Help</a>	
selectrandomquad	speciesarea/spparea.r	Draws rectangular quadrats in a plo...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/speciesarea~slash~spparea.r/selectrandomquad'>Help</a>	
selectrandomquad2	speciesarea/spparea.r	Creates randomly drawn quadrats, us...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/speciesarea~slash~spparea.r/selectrandomquad2'>Help</a>	
selectrandomquad3	speciesarea/spparea.r	Creates randomly drawn quadrats, us...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/speciesarea~slash~spparea.r/selectrandomquad3'>Help</a>	
setsize	map/map.r	An internal function, called by map...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/map~slash~map.r/setsize'>Help</a>	
simple	utilities/distributions.r	An even more trivial model to retur...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/simple'>Help</a>	
simple.model	utilities/distributions.r	A trivial model to return a differe...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/simple.model'>Help</a>	
skewness	utilities/statistics.r	Sample skewness. The biased portion...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/skewness'>Help</a>	
skewness	utilities/statistics.r	Standard error of skewness. Depends...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/skewness'>Help</a>	
skewness	utilities/statistics.r	Sample kurtosis. The biased portion...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/skewness'>Help</a>	
skewness	utilities/statistics.r	Standard error of kurtosis. Depends...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/skewness'>Help</a>	
slope.intercept.frompts	utilities/geometry.r	This is an old version of pts.to.in...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/slope.intercept.frompts'>Help</a>	
solve.topo	topography/solvetopo.r	This is based on the problem and so...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/topography~slash~solvetopo.r/solve.topo'>Help</a>	
split.data	utilities/utilities.r	Converts a big dataframe into a lis...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/split.data'>Help</a>	
spmean.mort.abundGibbs	demogchange/abund.fit.CTFS.r	Likelihood function for a species m...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~abund.fit.CTFS.r/spmean.mort.abundGibbs'>Help</a>	
spparea.sq	speciesarea/spparea.r	Function for calculating the number...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/speciesarea~slash~spparea.r/spparea.sq'>Help</a>	
standardreg.no.int	utilities/statistics.r	Standard regression with no interce...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/standardreg.no.int'>Help</a>	
startCTFS	startCTFS/startCTFS.r	Function to source all components o...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/startCTFS~slash~startCTFS.r/startCTFS'>Help</a>	
StringToVect	utilities/utilities.r	Converts a character string into a ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/StringToVect'>Help</a>	
summaryMCMC	utilities/lmerBayes.r	Make summary calculations based on ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~lmerBayes.r/summaryMCMC'>Help</a>	
summaryModelMCMC	utilities/modelBayes.r	Make summary calculations based on ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~modelBayes.r/summaryModelMCMC'>Help</a>	
sumsq	utilities/statistics.r	A trivial function used in minimizi...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/sumsq'>Help</a>	
testmcmcfunc	utilities/statistics.r	For testing mcmc1step. No longer us...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~statistics.r/testmcmcfunc'>Help</a>	
TextToRdata	utilities/utilities.r	Reads a tab-delimited text file and...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/TextToRdata'>Help</a>	
tojulian	utilities/utilities.r	Accepts any character representatio...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/tojulian'>Help</a>	
torus.shift	spatial/quadfunc.r	Creates a torus-shifted quadrat top...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~quadfunc.r/torus.shift'>Help</a>	
trim	utilities/utilities.r	Trims leading and trailing blanks f...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/trim'>Help</a>	
trim.growth	growth/growth.r	This is where growth rates are excl...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growth.r/trim.growth'>Help</a>	
unidentified.species	utilities/utilitiesCTFS.r	Takes a string of species names or ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilitiesCTFS.r/unidentified.species'>Help</a>	
vectToCommas	utilities/utilities.r	Given a vector of character variabl...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/vectToCommas'>Help</a>	
wavelet.allsp	spatial/block.analysis.r	Function to calculate the wavelet v...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~block.analysis.r/wavelet.allsp'>Help</a>	
wavelet.bivariate	spatial/block.analysis.r	Function to calculate the wavelet v...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~block.analysis.r/wavelet.bivariate'>Help</a>	
wavelet.univariate	spatial/block.analysis.r	Function to calculate the univariat...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/spatial~slash~block.analysis.r/wavelet.univariate'>Help</a>	
weibull.mean.3param	utilities/distributions.r	Mean of three-parameter Weibull...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/weibull.mean.3param'>Help</a>	
weibull.median.3param	utilities/distributions.r	Median of three-parameter Weibull...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/weibull.median.3param'>Help</a>	
weibull.sd.3param	utilities/distributions.r	SD of three-parameter Weibull...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/weibull.sd.3param'>Help</a>	
which.allnonNA	utilities/utilities.r	Finds all values of a vector which ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/which.allnonNA'>Help</a>	
which.maxNAs	utilities/utilities.r	An unfortunate bug in which.max: if...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/which.maxNAs'>Help</a>	
which.nonNA	utilities/utilities.r	Returns the first index at which a ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/which.nonNA'>Help</a>	
which.vmatch	utilities/utilities.r	Finds which subsequent element of a...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~utilities.r/which.vmatch'>Help</a>	
wideEnoughBins	growth/growthfit.bin.r	Test whether all the bin widths exc...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/growth~slash~growthfit.bin.r/wideEnoughBins'>Help</a>	
xydist	utilities/geometry.r	Distance between two pairs of x-y c...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/xydist'>Help</a>	
xydistmat	utilities/geometry.r	Distance between two x-y coordinate...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/xydistmat'>Help</a>	
xydistvect	utilities/geometry.r	Distance between two x-y coordinate...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~geometry.r/xydistvect'>Help</a>	
